,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
수요예측_20220627,1899.97,1829.93,1789.93,1769.93,1776.60,1816.60,1961.37,2180.03,2470.67,2608.87,2722.07,2709.93,2613.33,2786.77,2824.70,2849.07,2835.67,2821.10,2666.07,2622.70,2566.90,2487.93,2371.03,2296.60
신보령#1,0.00,0.00,0.00,671.16,671.16,671.16,699.03,671.16,888.25,912.35,925.00,925.00,925.00,925.00,925.00,925.00,925.00,925.00,925.00,925.00,925.00,896.88,858.83,855.64
춘천열병합CC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
안동복합CC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,331.52,390.83,390.83,344.17,390.83,390.83,390.83,390.83,390.83,376.07,344.17,344.17,0.00,0.00,0.00
부산복합3CC,376.00,354.50,278.33,184.17,184.17,184.17,184.17,184.17,217.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,226.05,188.00,184.82
포스코복합4CC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
신보령#1_1차,0.00,0.00,0.00,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16
춘천열병합CC_1차,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
안동복합CC_1차,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,0.00,0.00,0.00
부산복합3CC_1차,33.33,33.33,33.33,9.17,9.17,9.17,9.17,9.17,9.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.17,9.17,9.17
포스코복합4CC_1차,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
신보령#1_주파수제어,0.00,0.00,0.00,23.33,23.33,70.00,23.33,23.33,0.00,12.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.12,66.17,69.36
춘천열병합CC_주파수제어,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
안동복합CC_주파수제어,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.68,23.33,23.33,23.33,70.00,23.33,23.33,23.33,23.33,23.33,23.33,23.33,0.00,0.00,0.00
부산복합3CC_주파수제어,23.33,23.33,23.33,0.00,0.00,0.00,0.00,0.00,33.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
포스코복합4CC_주파수제어,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
신보령#1_2차,0.00,0.00,0.00,46.67,46.67,0.00,46.67,46.67,36.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
춘천열병합CC_2차,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
안동복합CC_2차,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.67,46.67,46.67,46.67,0.00,46.67,46.67,46.67,46.67,46.67,46.67,46.67,0.00,0.00,0.00
부산복합3CC_2차,46.67,46.67,46.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.88,3.83,0.64
포스코복합4CC_2차,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
신보령#1_3차,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
춘천열병합CC_3차,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
안동복합CC_3차,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
부산복합3CC_3차,84.67,106.17,182.33,370.65,370.65,370.65,370.65,370.65,304.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,286.89,363.00,369.37
포스코복합4CC_3차,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
신보령#1_속응성,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
춘천열병합CC_속응성,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
안동복합CC_속응성,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
부산복합3CC_속응성,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
포스코복합4CC_속응성,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
월성#2,720.00,720.00,720.00,720.00,720.00,720.00,720.00,720.00,720.00,720.00,720.00,720.00,720.00,720.00,720.00,720.00,720.00,720.00,720.00,720.00,720.00,720.00,720.00,720.00
고리#2,645.00,645.00,645.00,645.00,645.00,645.00,645.00,645.00,645.00,645.00,645.00,645.00,645.00,645.00,645.00,645.00,645.00,645.00,645.00,645.00,645.00,645.00,645.00,645.00
무주양수,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
무주양수_1차,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
무주양수_주파수제어,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
무주양수_2차,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
무주양수_3차(운전),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
무주양수_3차(정지),533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33
무주양수_속응성,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67
